u,g,r,i,z,redshift
19.09193,17.86146,17.34277,16.99911,16.79246,0.07302351
19.99864,17.97824,16.97658,16.52548,16.18047,0.116241455
21.3546,19.08551,17.64716,17.13002,16.76863,0.23142569
19.45749,17.71719,16.95912,16.6039,16.34567,0.07755219
19.58866,17.98429,17.23228,16.8559,16.5243,0.083895706
21.48726,19.09873,17.66684,17.10106,16.7712,0.23378073
17.73339,16.71486,16.41702,16.21477,16.1083,0.038918022
17.91927,16.68965,16.26973,15.97756,15.90915,0.040130567
20.7851,18.67885,17.20493,16.64238,16.31031,0.23288456
16.98516,15.77897,15.29237,15.02964,14.79433,0.04078693
20.9155,18.74272,17.33586,16.80656,16.42595,0.21605301
20.22135,18.49881,17.74995,17.34772,17.09464,0.084909946
18.798,17.00021,16.11604,15.66969,15.38644,0.062530406
20.7059,18.93596,17.85924,17.37409,17.01736,0.15523303
19.82934,18.52765,17.70818,17.2778,16.9539,0.13155738
16.77416,15.39927,14.84502,14.56428,14.4361,0.032943107
18.94464,17.90973,17.62769,17.42271,17.34641,0.057404704
20.53677,18.55817,17.4951,16.98721,16.60135,0.14169212
19.05704,17.83078,17.23246,16.83013,16.62528,0.09720502
20.73502,18.58605,17.17311,16.62018,16.25201,0.20969635
20.41964,18.49088,17.69175,17.33422,17.07804,0.08755027
19.28163,17.3575,16.48212,16.08959,15.77293,0.064176515
19.00261,17.49018,16.68834,16.29175,15.97556,0.08583511
20.0543,18.66887,17.82482,17.3808,17.04285,0.13126785
20.86577,18.97923,17.69528,17.21832,16.87749,0.19094636
20.69656,18.68085,17.18477,16.65752,16.30129,0.239707
20.25999,18.55005,17.50229,17.0524,16.72671,0.14413609
18.28609,17.25774,17.10856,16.82754,16.80196,0.0460605
19.69743,18.48256,17.75529,17.38108,17.11401,0.1372601
19.72105,18.25182,17.48956,17.12856,16.84856,0.0882539
20.58137,18.84329,17.59147,17.05982,16.68552,0.17930882
17.3871,15.88599,15.20823,14.81886,14.55288,0.044944298
20.63813,18.79938,17.68409,17.20687,16.83607,0.15111272
19.20529,18.08887,17.63357,17.34953,17.21025,0.07072225
19.86525,18.26228,17.36386,16.9665,16.59816,0.11184055
20.36534,18.52814,17.55111,17.1481,16.7843,0.10896546
20.31131,18.15814,17.11329,16.62061,16.24995,0.13285452
18.15538,16.93933,16.32726,16.0103,15.7642,0.0641925
19.17383,18.09209,17.64301,17.31049,17.18074,0.07293681
19.92457,18.27165,17.49309,17.10824,16.82705,0.08796486
18.24259,17.36986,17.02092,16.68867,16.65718,0.048770264
19.95727,18.48172,17.57218,17.11346,16.86693,0.13263002
19.92024,18.38158,17.51184,17.10555,16.85693,0.122967556
18.30308,17.10613,16.46684,16.08553,15.86543,0.07741308
20.37375,18.46297,17.37472,16.95367,16.58168,0.1351781
19.66902,17.59093,16.57689,16.14466,15.79646,0.1081174
18.72385,16.81796,15.9603,15.56801,15.23513,0.06151446
19.5365,18.21826,17.64522,17.33807,17.11447,0.091768675
19.11804,18.04995,17.43017,17.06177,16.83606,0.11038944
20.24288,18.16171,17.02618,16.56425,16.20864,0.14957204
17.94776,16.44783,15.75335,15.36832,15.08884,0.049528603
18.22668,16.95597,16.62059,16.3721,16.17968,0.04767736
18.58451,17.42737,16.89741,16.58198,16.37131,0.060942512
19.54329,17.52127,16.47205,16.03888,15.66962,0.1005279
18.28974,16.76994,16.10378,15.76202,15.55498,0.067735165
18.66453,17.42393,16.94676,16.60619,16.45092,0.0583126
19.95781,18.25558,17.48539,17.11926,16.85318,0.08143744
20.57999,18.47598,17.36956,16.91271,16.54014,0.13657893
19.90408,18.42724,17.67933,17.31688,17.05682,0.1091767
20.19501,18.2661,17.3522,16.94415,16.60258,0.10256485
16.74051,14.95811,14.15883,13.76954,13.54142,0.02823757
19.55814,17.58734,16.66687,16.2273,15.90935,0.09198325
20.05618,18.25275,17.36965,16.90154,16.54358,0.10391327
19.60442,18.21461,17.44011,17.02266,16.77433,0.10759211
19.23708,18.0091,17.20243,16.82026,16.55038,0.13846478
18.92143,17.75646,17.25927,16.96886,16.74695,0.06164486
20.61788,18.56745,17.46224,17.0161,16.5811,0.14318271
19.24633,17.26227,16.36272,15.95336,15.61193,0.0792733
19.95059,18.17248,17.23063,16.80906,16.5091,0.1058224
19.57495,18.24378,17.53686,17.07653,16.80325,0.1190981
20.55576,18.53313,17.37629,16.92616,16.53755,0.1465161
19.61989,17.74941,16.86188,16.46818,16.12878,0.0975009
19.33312,18.13547,17.55842,17.21634,17.02604,0.09444401
20.3843,18.54354,17.40552,16.93943,16.60484,0.14671661
19.58088,18.07849,17.28295,16.85128,16.56679,0.106617816
20.95221,18.64669,17.48413,17.01347,16.66104,0.16620883
19.01155,17.08524,16.27855,15.91067,15.58972,0.07234704
20.13005,18.36588,17.33508,16.82596,16.35328,0.13555788
20.33832,18.65023,17.77024,17.36775,17.08591,0.09954099
20.82754,18.78767,17.57272,17.09451,16.72634,0.17412099
19.37241,17.62176,16.76266,16.36346,16.06921,0.08096919
20.67228,18.81269,17.56773,17.07363,16.71554,0.17923029
18.90059,18.08895,17.74606,17.59742,17.49187,0.06119987
18.56591,17.34357,16.8953,16.59194,16.44441,0.060359854
18.89064,17.59512,16.88976,16.52228,16.24305,0.106693484
19.74187,17.96373,17.07864,16.66175,16.33943,0.091218956
19.58678,18.1562,17.52467,17.17975,16.94582,0.085658744
19.45568,17.84665,17.08792,16.69871,16.43621,0.07491673
20.94204,19.18756,17.70942,17.15439,16.68538,0.23210053
18.95881,17.08734,16.20737,15.76325,15.44322,0.07963618
19.59875,17.83952,16.87986,16.37841,15.98913,0.10293732
19.17712,18.06049,17.49732,17.13026,16.89425,0.096981786
19.99676,17.97508,16.97474,16.53014,16.14543,0.11778376
18.73026,17.58725,17.1469,16.81542,16.6327,0.06203088
18.87795,17.38308,16.61531,16.14276,15.77188,0.08105203
21.62263,19.00489,17.72508,17.43442,17.01591,0.18549518
19.60987,17.82515,16.90492,16.44093,16.13031,0.09895641
19.86673,18.18567,17.41727,17.05799,16.77261,0.08222634
18.20461,16.59096,15.80656,15.42365,15.11246,0.06893644
18.11684,16.56514,15.73967,15.29237,14.97511,0.06143196
20.12962,18.44545,17.59198,17.09899,16.75513,0.11409326
19.8209,17.66051,16.62154,16.18197,15.82472,0.11060268
20.49701,18.75833,17.72961,17.2349,16.83434,0.15061086
19.47341,17.46547,16.42591,15.95952,15.57761,0.10744218
19.49244,17.83323,16.89583,16.42598,16.08678,0.1065522
19.44953,17.82238,17.13371,16.70488,16.43259,0.071910925
21.00306,19.01425,17.81685,17.32266,16.95301,0.17842709
18.03148,16.12943,15.2968,14.90944,14.62648,0.052485637
20.21787,18.21895,17.12776,16.66193,16.28446,0.1380272
20.10389,18.5861,17.74353,17.28542,17.04591,0.12888579
20.67866,18.47757,17.45904,16.92436,16.51691,0.1293815
20.65176,18.72669,17.48505,16.9755,16.59025,0.18668431
19.70535,18.23942,17.40956,16.98088,16.69109,0.122600086
19.61455,17.6572,16.64392,16.13998,15.76595,0.10658299
20.84309,18.97123,17.79445,17.32882,16.94656,0.15959147
19.33108,17.56802,16.65471,16.21508,15.8469,0.08974688
20.51689,18.79205,17.71993,17.23084,16.82836,0.15447278
20.90901,19.01517,17.7544,17.25346,16.90579,0.19519873
20.1201,18.41474,17.56808,17.09377,16.73224,0.11217856
